エリア分類,エリア小分類,ゴルフコース名,緯度,経度
,,大月ガーデンゴルフクラブ,35.57361711,138.9913738
,,桜ヒルズゴルフクラブ,35.56539674,139.0862884
,長野（軽井沢・佐久）,晴山ゴルフ場,36.3396104,138.6264615
,,三井の森軽井沢カントリー倶楽部,36.30657956,138.5884708
,,望月リソルゴルフクラブ,36.20575046,138.3255097
,,サニーカントリークラブ,36.187101,138.308516
,,シャトレーゼカントリークラブ小海,36.05885842,138.4210835
,,軽井沢７２ゴルフ　西コース,36.31193126,138.6306172
,,グランディ軽井沢ゴルフクラブ,36.30136748,138.5473508
,,中軽井沢カントリークラブ,36.33353709,138.5734474
,,軽井沢７２ゴルフ　北コース,36.31846204,138.6063679
,長野（長野市・飯山・上田）,斑尾高原カントリー倶楽部,36.79393266,138.3277597
,,長野デューンズゴルフクラブ,36.72727952,138.1692623
,,菅平グリーンゴルフ,36.55563951,138.362162
,,斑尾東急ゴルフクラブ,36.85390301,138.262917
,,上田菅平高原グランヴィリオゴルフ倶楽部,36.53590232,138.3559021
,,志賀高原カントリークラブ,36.7893588,138.4138304
,,ウィーゴカントリー倶楽部,36.550651,138.0882302
,,信濃ゴルフ倶楽部,36.751766,138.2040333
,,上田丸子グランヴィリオゴルフ倶楽部,36.33169824,138.309674
,長野（松本・安曇野・諏訪・岡谷）,富士見高原ゴルフコース,35.9259896,138.3024852
,,あづみ野カントリークラブ,36.31909584,137.8191454
,,塩嶺カントリークラブ,36.06979573,138.0085937
,,フォレストカントリークラブ三井の森,36.01486928,138.2816992
,,諏訪レイクヒルカントリークラブ,36.02302684,138.0338126
,,豊科カントリー倶楽部,36.29669918,137.9501514
,,松本カントリークラブ,36.16184239,138.0096674
,,鹿島南蓼科ゴルフコース,36.0032103,138.269545
,,諏訪湖カントリークラブ,36.04333375,138.1462295
,,リバー富士カントリークラブ,35.1820996,138.5720193
,,朝霧カントリークラブ,35.4081439,138.6023845
,,大富士ゴルフクラブ,35.2116697,138.7183409
,,富士宮ゴルフクラブ,35.2068249,138.6009001
,,朝霧ジャンボリーゴルフクラブ,35.38008439,138.5796872
,,富士チサンカントリークラブ,35.2355968,138.5779655
,,十里木カントリークラブ,35.2621603,138.7788873
,,Ｇ８富士カントリークラブ,35.3303372,138.6323536
,,IAIスタジアム日本平,34.98450754,138.4813324
,,愛鷹シックスハンドレッドクラブ,35.16324375,138.8203065
,,三島ゴルフ倶楽部,35.1889989,138.8599341
,,PGM御殿場カントリークラブ,35.31145646,138.9735761
,,富士ヘルスカントリークラブ,35.3790223,138.9563536
,,凾南ゴルフ倶楽部,35.1404118,139.0009289
,,伊豆大仁カントリークラブ,35.0282096,139.0268866
,,伊豆にらやまカントリークラブ,35.0523549,139.003418
